﻿鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
土城區,房地(土地+建物),新北市土城區中州路30巷,12.59,住,,,1110723,土地7建物1車位0,四層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,59.79,1,1,1,有,無,7620000,127446,,0.0,0,,RPTNMLTJQHHGFAF68CB,仁基京品,D棟4號
土城區,房地(土地+建物),新北市土城區中州路30巷,12.59,住,,,1110723,土地7建物1車位0,七層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,59.79,1,1,1,有,無,7820000,130791,,0.0,0,,RPUNMLTJQHHGFAF78CB,仁基京品,D棟7號
土城區,房地(土地+建物)+車位,新北市土城區中州路30巷,25.23,住,,,1110722,土地7建物1車位1,十層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.57,3,2,2,有,無,18150000,135835,坡道平面,35.94,1900000,,RPPOMLTJQHHGFAF38CB,仁基京品,F棟10號
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段,16.26,住,,,1110721,土地3建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.31,2,2,1,有,無,8610000,95054,坡道平面,25.88,1250000,交易總價含下列非屬預售屋價格之費用:含裝潢費；含傢俱設備費；,RPTNMLTJQHHGFEF09CB,台北灣銀河,A棟7號
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路二段202巷65弄,16.76,住,,,1110730,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.38,3,2,2,有,無,12100000,87037,坡道平面,30.89,1700000,,RPPNMLKKQHHGFEF87CB,新潤心苑,A1-10F號
土城區,房地(土地+建物),新北市土城區中州路30巷,12.64,住,,,1110723,土地7建物1車位0,十六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,59.94,1,1,1,有,無,8700000,145145,,0.0,0,,RPQNMLKKQHHGFAF57CB,仁基京品,E棟16號
土城區,房地(土地+建物)+車位,新北市土城區中州路30巷,12.64,住,,,1110726,土地7建物1車位1,十二層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.88,1,1,1,有,無,10200000,138472,坡道平面,35.94,1900000,,RPRNMLKKQHHGFAF67CB,仁基京品,E棟12號
土城區,房地(土地+建物)+車位,新北市土城區中州路30巷,12.64,住,,,1110725,土地7建物1車位1,十層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.88,1,1,1,有,無,9900000,135135,坡道平面,35.94,1800000,,RPSNMLKKQHHGFAF77CB,仁基京品,E棟10號
土城區,房地(土地+建物),新北市土城區中州路30巷,12.64,住,,,1110723,土地7建物1車位0,四層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,59.94,1,1,1,有,無,7650000,127628,,0.0,0,,RPVNMLKKQHHGFAF08CB,仁基京品,E棟4號
泰山區,房地(土地+建物)+車位,新北市泰山區坡雅路信華三街口,15.95,住,,,1110727,土地4建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.83,3,2,2,有,無,15500000,149636,坡道平面,25.95,2350000,,RPUNMLKKQHHGFBF08CB,朗朗城心,A棟9-07F號
泰山區,房地(土地+建物)+車位,新北市泰山區坡雅路信華三街口,11.83,住,,,1110730,土地4建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.37,2,2,1,有,無,12720000,159914,坡道平面,28.21,2300000,,RPVNMLKKQHHGFBF18CB,朗朗城心,A棟5-10F號
