鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,21.08,住,,,1110822,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.66,3,2,2,有,無,24010000,176769,坡道平面,35.41,2400000,,RPPSMLOKRHHGFAF48CB,東瑩日光,A棟3-2F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,21.08,住,,,1110821,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.47,3,2,2,有,無,23630000,173521,坡道平面,35.41,2450000,,RPQSMLOKRHHGFAF58CB,東瑩日光,A棟3-3F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,21.08,住,,,1110821,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.47,3,2,2,有,無,23830000,173521,坡道平面,35.41,2650000,,RPRSMLOKRHHGFAF68CB,東瑩日光,A棟3-4F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,21.08,住,,,1110821,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.47,3,2,2,有,無,23840000,176880,坡道平面,35.41,2250000,,RPSSMLOKRHHGFAF78CB,東瑩日光,A棟3-7F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,21.08,住,,,1110821,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.47,3,2,2,有,無,24180000,177208,坡道平面,35.41,2550000,,RPTSMLOKRHHGFAF88CB,東瑩日光,A棟3-8F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,21.08,住,,,1110826,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.47,3,2,2,有,無,23830000,177208,坡道平面,35.41,2200000,,RPPNMLPKRHHGFAF08CB,東瑩日光,A棟3-9F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,17.56,住,,,1110821,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.52,3,2,2,有,無,19250000,168628,坡道平面,35.41,2200000,,RPQNMLPKRHHGFAF18CB,東瑩日光,B棟3-2F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,17.56,住,,,1110823,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.52,3,2,2,有,無,19950000,171595,坡道平面,35.41,2600000,,RPRNMLPKRHHGFAF28CB,東瑩日光,B棟3-3F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,17.56,住,,,1110823,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.52,3,2,2,有,無,19400000,170112,坡道平面,35.41,2200000,,RPSNMLPKRHHGFAF38CB,東瑩日光,B棟3-4F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,17.56,住,,,1110823,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.52,3,2,2,有,無,20500000,177529,坡道平面,35.41,2550000,,RPTNMLPKRHHGFAF48CB,東瑩日光,B棟3-6F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,17.56,住,,,1110823,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.52,3,2,2,有,無,20620000,177727,坡道平面,35.41,2650000,,RPUNMLPKRHHGFAF58CB,東瑩日光,B棟3-7F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,17.56,住,,,1110822,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.52,3,2,2,有,無,20410000,178123,坡道平面,35.41,2400000,,RPVNMLPKRHHGFAF68CB,東瑩日光,B棟3-8F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,17.56,住,,,1110821,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.52,3,2,2,有,無,20550000,181486,坡道平面,35.41,2200000,,RPWNMLPKRHHGFAF78CB,東瑩日光,B棟3-15F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,24.59,住,,,1110821,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,177.62,4,2,2,有,無,26620000,170312,坡道平面,35.41,2400000,,RPXNMLPKRHHGFAF88CB,東瑩日光,B棟7-4F號
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路,24.59,住,,,1110821,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,177.62,4,2,2,有,無,26990000,172913,坡道平面,35.41,2400000,,RPOOMLPKRHHGFAF08CB,東瑩日光,B棟7-5F號
